,Movie Title,Year,Duration,Genre,Rating
86,Harry Potter y el misterio del príncipe,2009,153 min,"Action, Adventure, Family            ",7.6
87,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,"Action, Adventure, Fantasy            ",8.0
88,El cisne negro,2010,108 min,"Drama, Thriller            ",8.0
89,El gran Gatsby,2013,143 min,"Drama, Romance            ",7.2
90,Romeo + Juliet,1996,120 min,"Drama, Romance            ",6.7
91,El juego de la fortuna,2011,133 min,"Biography, Drama, Sport            ",7.6
92,Whiplash: Música y obsesión,2014,106 min,"Drama, Music            ",8.5
93,Bohemian Rhapsody,2018,134 min,"Biography, Drama, Music            ",7.9
94,El sexto sentido,1999,107 min,"Drama, Mystery, Thriller            ",8.1
95,Nightcrawler,2014,117 min,"Crime, Drama, Thriller            ",7.8
96,Catch Me If You Can,2002,141 min,"Biography, Crime, Drama            ",8.1
97,Spider-Man: Into the Spider-Verse,2018,117 min,"Animation, Action, Adventure            ",8.4
98,Emma.,2020,124 min,"Comedy, Drama, Romance            ",6.7
99,Good Will Hunting,1997,126 min,"Drama, Romance            ",8.3
100,Animales nocturnos,2016,116 min,"Drama, Thriller            ",7.5
101,Black Panther,2018,134 min,"Action, Adventure, Sci-Fi            ",7.3
102,News of the World,2020,118 min,"Action, Adventure, Drama            ",6.8
103,The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery            ",7.8
104,The Lord of the Rings: The Return of the King,2003,201 min,"Action, Adventure, Drama            ",8.9
105,Los Ángeles al desnudo,1997,138 min,"Crime, Drama, Mystery            ",8.2
106,Ex Machina,2014,108 min,"Drama, Sci-Fi, Thriller            ",7.7
107,La gran apuesta,2015,130 min,"Biography, Comedy, Drama            ",7.8
108,Un reino bajo la luna,2012,94 min,"Comedy, Drama, Romance            ",7.8
109,Eternal Sunshine of the Spotless Mind,2004,108 min,"Drama, Romance, Sci-Fi            ",8.3
110,Hacksaw Ridge,2016,139 min,"Biography, Drama, History            ",8.1
